Date,Capacity
4/10/10,2479.58
11/19/10,2479.58
11/19/10,2581.58
12/29/10,2581.58
12/29/10,2731.58
12/29/10,2731.58
12/29/10,2881.58
1/25/11,2881.58
1/25/11,2918.38
2/12/11,2918.38
2/12/11,3068.38
2/21/11,3068.38
2/21/11,3090.88
3/12/11,3090.88
3/12/11,3192.88
4/21/11,3192.88
4/21/11,3360.88
12/22/11,3360.88
12/22/11,3463.38
1/28/12,3463.38
1/28/12,3583.38
2/1/12,3583.38
2/1/12,3661.58
2/1/12,3661.58
2/1/12,3811.58
2/23/12,3811.58
2/23/12,3860.58
3/29/12,3860.58
3/29/12,3962.58
4/18/12,3962.58
4/18/12,4090.38
5/9/12,4090.38
5/9/12,4240.38
9/12/12,4240.38
9/12/12,4380.38
12/7/12,4380.38
12/7/12,4480.38
12/7/12,4480.38
12/7/12,4640.38
12/11/12,4640.38
12/11/12,4717.38
12/20/12,4717.38
12/20/12,4906.38
1/1/13,4906.38
1/1/13,5074.38
1/1/13,5074.38
1/1/13,5206.38
5/17/13,5206.38
5/17/13,5226.33
7/30/13,5226.33
7/30/13,5491.33
1/1/15,5491.33
1/1/15,5629.33
1/1/15,5629.33
1/1/15,5719.33
1/12/15,5719.33
1/12/15,5798.53
1/12/15,5798.53
1/12/15,5818.33
1/26/15,5818.33
1/26/15,5829.53
6/9/15,5829.53
6/9/15,5984.63
9/1/15,5984.63
9/1/15,5984.63
